"DateID","StateID","ManufacturerID","Score","Manufacturer","Date","State","zip","ProductID"
7,46,1,"83","Abbas",1/1/2014 0:00:00,"WA","00072","1"
7,46,6,"89","Leo",1/1/2014 0:00:00,"WA","00072","1863"
7,39,1,"87","Abbas",1/1/2014 0:00:00,"SC","29001","1"
7,32,1,"68","Abbas",1/1/2014 0:00:00,"NV","88901","1"
7,32,6,"61","Leo",1/1/2014 0:00:00,"NV","88901","1863"
7,3,5,"15","Fama",1/1/2014 0:00:00,"AR","71601","211"
7,16,1,"13","Abbas",1/1/2014 0:00:00,"KS","66002","1"
7,12,7,"46","Maximus",1/1/2014 0:00:00,"IA","50001","392"
7,5,12,"78","Quibus",1/1/2014 0:00:00,"CA","00012","1233"
7,5,14,"72","Victoria",1/1/2014 0:00:00,"CA","00012","2102"
7,10,2,"43","Aliqui",1/1/2014 0:00:00,"FL","00041","2187"
7,10,3,"24","Barba",1/1/2014 0:00:00,"FL","00041","199"
7,6,10,"62","Pirum",1/1/2014 0:00:00,"CO","00027","1043"
7,24,8,"62","Natura",1/1/2014 0:00:00,"MS","38848","694"
7,43,3,"82","Barba",1/1/2014 0:00:00,"UT","00071","199"
7,8,12,"66","Quibus",1/1/2014 0:00:00,"DC","20001","1233"
7,8,6,"62","Leo",1/1/2014 0:00:00,"DC","20001","1863"
7,8,1,"15","Abbas",1/1/2014 0:00:00,"DC","20001","1"
7,25,10,"61","Pirum",1/1/2014 0:00:00,"MT","00063","1043"
7,25,5,"90","Fama",1/1/2014 0:00:00,"MT","00063","211"
7,9,1,"26","Abbas",1/1/2014 0:00:00,"DE","19701","1"
7,13,4,"44","Currus",1/1/2014 0:00:00,"ID","00056","1908"
7,13,6,"62","Leo",1/1/2014 0:00:00,"ID","00056","1863"
7,35,4,"90","Currus",1/1/2014 0:00:00,"OK","00067","1908"
7,35,1,"64","Abbas",1/1/2014 0:00:00,"OK","00067","1"
7,40,9,"62","Palma",1/1/2014 0:00:00,"SD","57001","1027"
7,30,12,"78","Quibus",1/1/2014 0:00:00,"NJ","07001","1233"
7,14,13,"89","Salvus",1/1/2014 0:00:00,"IL","62356","1688"
7,14,14,"76","Victoria",1/1/2014 0:00:00,"IL","62356","2102"
7,14,2,"13","Aliqui",1/1/2014 0:00:00,"IL","62356","2187"
7,48,1,"68","Abbas",1/1/2014 0:00:00,"WV","24701","1"
7,18,9,"77","Palma",1/1/2014 0:00:00,"LA","00116","1027"
7,18,2,"25","Aliqui",1/1/2014 0:00:00,"LA","00116","2187"
7,36,12,"88","Quibus",1/1/2014 0:00:00,"OR","00068","1233"
7,29,3,"66","Barba",1/1/2014 0:00:00,"NH","03033","199"
7,22,10,"61","Pirum",1/1/2014 0:00:00,"MN","00059","1043"
7,21,6,"72","Leo",1/1/2014 0:00:00,"MI","48001","1863"
7,27,5,"61","Fama",1/1/2014 0:00:00,"ND","58001","211"
7,27,6,"84","Leo",1/1/2014 0:00:00,"ND","58001","1863"
7,27,13,"86","Salvus",1/1/2014 0:00:00,"ND","58001","1688"
7,28,2,"83","Aliqui",1/1/2014 0:00:00,"NE","68001","2187"
7,44,13,"85","Salvus",1/1/2014 0:00:00,"VA","20041","1688"
7,44,10,"67","Pirum",1/1/2014 0:00:00,"VA","20041","1043"
7,31,10,"67","Pirum",1/1/2014 0:00:00,"NM","00064","1043"
7,49,6,"86","Leo",1/1/2014 0:00:00,"WY","82001","1863"
7,37,5,"64","Fama",1/1/2014 0:00:00,"PA","15937","211"
7,42,12,"74","Quibus",1/1/2014 0:00:00,"TX","00188","1233"
7,42,13,"73","Salvus",1/1/2014 0:00:00,"TX","00188","1688"
7,41,13,"82","Salvus",1/1/2014 0:00:00,"TN","42223","1688"
7,45,8,"83","Natura",1/1/2014 0:00:00,"VT","05101","694"
7,35,2,"85","Aliqui",1/1/2014 0:00:00,"OK","00067","2187"
7,33,5,"88","Fama",1/1/2014 0:00:00,"NY","00501","211"
7,9,11,"67","Pomum",1/1/2014 0:00:00,"DE","19701","1726"
7,3,11,"66","Pomum",1/1/2014 0:00:00,"AR","71601","1726"
7,17,1,"24","Abbas",1/1/2014 0:00:00,"KY","40003","1"
7,4,3,"13","Barba",1/1/2014 0:00:00,"AZ","00014","199"
7,49,3,"88","Barba",1/1/2014 0:00:00,"WY","82001","199"
7,8,11,"72","Pomum",1/1/2014 0:00:00,"DC","20001","1726"
